#iteration throughput
1, 14310
2, 17409
3, 22599
4, 16934
5, 17697
6, 19087
7, 19609
8, 21973
9, 24300
10, 19773
11, 27085
12, 26087
13, 27065
14, 27100
15, 26167
16, 26724
17, 20927
18, 26798
19, 27841
20, 27465
21, 23973
22, 26621
23, 24101
24, 27081
25, 26301
26, 26596
27, 26886
28, 27251
29, 27383
30, 27782
