operations,nodes,iteration,time,throughput
100000,1,1,84.988,23532
100000,1,1,88.449,22611
100000,1,1,87.037,22978
100000,1,1,85.425,23412
100000,1,1,85.568,23373

100000,2,2,95.059,21039
100000,2,2,105.614,18936
100000,2,2,101.755,19655
100000,2,2,108.794,18383
100000,2,2,99.465,20107
100000,3,3,173.476,11528
100000,3,3,143.672,13920
100000,3,3,143.938,13894
100000,3,3,144.451,13845
100000,3,3,134.425,14878
